Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Mati_Mansilla 31 arg   C 76 10 10 10 55 25 285 300 300 300  21 1890 147  24   0   0   0   0   0   0   0   0 100
L_Ingolotti   27 arg   C 67 10 10 10 60 25 330 300 300 300   1   90   5   3   0   0   0   0   0   0   0   0 100
Maxi_Cabrera  20 arg   C 60 10 10 10 45 25 300 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Licha_Lopez   37 arg   C 10 73 53 51 35 25 300 521 349 279  20 1373   0   0  18   8  13   0   0   1   0   0  97
Mateo_Mendoza 22 arg   C 10 72 52 42 50 25 300 843 956 688  16 1321   0   0  15  12   7   0   0   2   0   0 100
Juan_Pintado  29 uru   R 10 72 62 44 60 25 300 660 900 271  22 1357   0   0   8  23   1   0   1   2   0   0 100
R_Giampaoli   27 arg  CR 10 71 53 42 60 25 300 250 214   9  15 1205   0   0  14   8   4   0   0  10   0   0  97
Frank_Fabra   36 col   L 10 71 67 60 35 25 300 319 228 471  15 1116   0   0   8  19   7   0   1   2   0   0  92
P_S_Torrejon  30 arg   L 10 70 66 47 55 25 300 482 117 823  22  510   0   0   5  17   1   0   0   0   0   0 100
Gaston_Suso   36 arg   C 10 69 49 43 35 25 300 938 778 450  11  753   0   0  18   4   7   2   0   0   0   0  86
Enzo_Martinez 29 uru   C 10 69 52 40 60 25 300 432 872 726  12  602   0   0  11   4   7   0   0   1   0   0 100
R_Funes_Mori  36 arg   C 10 69 58 50 35 25 300  43 195 937   5  270   0   0   4   1   1   0   0   0   0   0 100
L_Raffin      21 arg   C 10 66 46 34 45 25 300 482 888 870   1   90   0   0   1   1   0   0   0   0   0   0 100
F_Corbalan    23 arg   R 10 62 56 38 50 25 300 588 563 515   7  227   0   0   0   6   1   0   0   0   0   0 100
Martin_Fdez   26 uru   C 10 68 74 63 60 25 300 243 149 769  21 1367   0   0   6  42  11   0   1   3   0   0 100
U_Ortegoza    30 chi   C 10 63 70 62 55 25 300 509 692 398  20 1288   0   0   9  31  15   1   1   1   0   0  93
M_Barrios     28 uru   C 10 64 70 61 60 25 300 284 337  92  22 1334   0   0   9  35  14   0   2   1   0   0 100
F_Mancuello   38 arg   C 10 46 69 67 30 25 300 533 328 671  17 1300   0   0   2  23  18   2   0   0   0   0  86
Jere_Merlo    20 arg  RL 10 29 67 62 45 25 300 322 627 298  21 1010   0   0   1  24  10   0   1   0   0   0 100
Lucas_Castro  38 arg   C 10 52 67 64 30 25 300 689 211 892   7  509   0   0   2  16  14   0   1   0   0   0 100
Leandro_Mamut 23 arg  CL 10 56 61 53 50 25 300 440 398 446   4   87   0   0   0   0   3   0   0   0   0   0 100
J_Furch       38 arg   C 10 48 60 73 30 25 300 869 893 286  19 1293   0   0   6   5  50   4   0   2   0   0  88
R_Castillo    28 arg   C 10 26 59 72 60 25 300 292 629 447  21 1496   0   0   0   7  43   3   0   1   0   0 100
G_Carrillo    36 arg   C 10 24 53 71 35 25 300 644 914 879  22 1033   0   0   3  10  30   2   2   3   0   0 100
Seba_Palacios 35 arg  RC 10 24 65 66 35 25 300 467 627 464   5  159   0   0   0   5   1   0   0   0   0   0 100
Ivo_Mammini   24 arg   C 10 25 53 63 55 25 300 447 564 432   1   90   0   0   0   2   4   0   1   0   0   0 100

