Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
F_Muslera     41 uru   C 79 10 10 10 50 25 925 300 300 300  10  900  52  12   0   0   0   0   0   0   0   0 100
J_P_Cozzani   28 arg   C 71 10 10 10 60 25 855 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
A_Busso       20 arg   C 60 10 10 10 45 25 100 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
N_Otamendi    39 arg   C 10 79 65 57 30 25 300 412 369 315   8  581   0   0  11   8   4   1   1   2   0   0  99
K_Lomonaco    25 arg   C 10 79 66 53 55 25 300  49 170 906  10  751   0   0  18   9   8   0   1   1   0   0  92
Joaco_Garcia  25 arg   R 10 76 68 51 55 25 300 698 710 167   5  450   0   0   2  13   2   0   0   0   0   0  94
Nacho_Vazquez 29 arg   C 10 76 52 46 60 25 300 617 413 130   7  369   0   0   6   7   7   0   0   0   0   0 100
Santi_Arias   35 col   R 10 76 68 53 35 25 300 297 382 302   5  450   0   0   1   9   7   1   1   1   0   0 100
Marcos_Acuna  35 arg   L 10 75 73 67 35 25 300 375 967 115  10  729   0   0   5  20   7   0   2   1   0   0  91
Ema_Mammana   31 arg   C 10 75 59 43 55 25 300 297 776 436   4   99   0   0   5   0   2   0   0   0   0   0 100
Aaron_Quiros  25 arg  CL 10 72 63 49 55 25 300 953 768 524   7  171   0   0   2   2   1   0   0   0   0   0 100
Agus_Sienra   27 arg   C 10 66 54 35 60 25 300 566 983 959   0    0   0   0   0   0   0   0   0   0   0   0 100
Marce_Moreno  31 arg  CR 10 50 78 73 55 25 300 120 679  53   8  645   0   0   2  27  15   1   1   1   0   0  90
Adri_Sanchez  28 arg  CR 10 67 78 57 60 25 300 744 313 730   8  619   0   0   4  20   5   0   1   0   0   0  98
A_Almendra    27 arg   C 10 67 77 70 60 25 300 512 170 287   7  582   0   0   1  21  11   0   1   6   0   0 100
Gabriel_Neves 29 uru   C 10 72 76 64 60 25 300 142 833 211   8  460   0   0   4  11   4   0   0   0   0   0 100
Facu_Farias   24 arg  CL 10 33 76 72 55 25 300 985 259   0  10  736   0   0   2  22   7   0   0   0   0   0 100
Diego_Valdes  33 chi  CR 10 55 75 70 45 25 300 552 199 443   6  279   0   0   1   6   5   0   0   0   0   0 100
Gero_Rivera   23 arg   R 10 34 74 67 50 25 300 707 452 770   2  115   0   0   0   3   2   0   0   0   0   0 100
Manu_Lanzini  34 arg  CL 10 50 72 69 35 25 300 678 200 646   5  164   0   0   0   4   4   1   1   0   0   0 100
Mateo_Seoane  23 arg   C 10 61 71 43 50 25 300 743 917 587   0    0   0   0   0   0   0   0   0   0   0   0 100
Tobi_Andrada  20 arg   C 10 57 66 50 45 25 300 908 461 872   0    0   0   0   0   0   0   0   0   0   0   0 100
A_Sanabria    31 par   C 10 35 59 77 55 25 300 848 170 780  10  753   0   0   0  11  34   6   1   0   0   0  96
Uvita_Fdez    31 arg   C 10 31 66 76 55 25 300 313 108 491  10  753   0   0   2   5  41   6   1   0   0   0  96
Agus_Alaniz   25 uru RCL 10 38 65 72 55 25 300 385 755 827   5  123   0   0   0   6   9   1   0   0   0   0 100
J_Dadin       21 arg   C 10 40 65 72 45 25 300 909 126 602   7  171   0   0   1   4  11   1   1   0   0   0 100
F_Monzon      26 arg   C 10 27 49 66 60 25 300 215 263  47   0    0   0   0   0   0   0   0   0   0   0   0 100

