Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
H_Galindez    40 ecu   C 77 10 10 10 30 25 415 300 300 300  17 1530 121  17   0   0   0   0   0   0   0   0 100
N_Insfran     32 arg   C 68 10 10 10 45 25 125 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Ale_Martnez   22 arg   C 59 10 10 10 50 25 600 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
H_Nervo       36 arg   C 10 75 58 46 35 25 300 164 279 189  10  759   0   0  11   8   6   0   0   0   0   0  89
Cesar_Ibanez  27 arg   L 10 74 61 39 60 25 300 819 379 459  16 1440   0   0  11  32   5   0   2   1   0   0  77
De_la_Fuente  30 arg   R 10 73 63 60 55 25 300  19 361 850  15 1350   0   0  15  21  18   1   0   4   0   0  97
Fabio_Pereyra 37 arg   C 10 72 48 40 35 25 300 391 861 496   5  408   0   0   4   8   7   0   0   0   0   0 100
R_Battaglia   35 arg   C 10 72 68 52 35 25 300 481 890 481  16  951   0   0  19  13   9   0   1   0   0   0  99
Alexis_Soto   33 arg   L 10 71 63 45 45 25 300 835  94 371   7  204   0   0   5   3   2   1   0   0   0   0 100
Lucas_Carrizo 30 arg  CL 10 70 54 40 55 25 300 693 147  91   3  270   0   0   4   4   3   0   0   0   0   0 100
Daniel_Zabala 24 arg  CR 10 67 59 47 55 25 300 484 584 280   8  336   0   0   5   3   1   0   0   0   0   0  95
Nico_Freire   33 arg   C 10 67 48 40 45 25 300 343 329 206   5  450   0   0   8   7   1   0   1   0   0   0 100
Lean_Lescano  24 arg   L 10 66 56 39 55 25 300 468 367 938   0    0   0   0   0   0   0   0   0   0   0   0 100
Nico_Goitea   29 arg   C 10 63 47 42 60 25 300 610  41  19   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Miljevic    25 usa  LC 10 39 76 69 55 25 300 325 268 138  10  852   0   0   3  17  11   0   0   0   1   0 100
Leonardo_Gil  35 chi   C 10 65 75 65 35 25 300 211  33 706  14 1182   0   0  13  29  12   0   2   1   0   0  96
Oscar_Romero  33 par  CR 10 42 74 71 45 25 300 311 339 293  17  426   0   0   3   8   5   0   0   1   0   0 100
Toto_Salvio   36 arg   R 10 41 73 71 35 25 300 261 800 393  16 1104   0   0   2  31  19   1   1   1   0   0 100
Rami_Carrera  33 arg CRL 10 60 73 68 45 25 300 176 405 119  16  545   0   0   1  21  12   3   2   1   0   0 100
Leonel_Perez  22 arg   C 10 64 73 56 50 25 300 720 337 484  16  910   0   0   5  33  19   1   1   3   0   0 100
Gabri_Alanis  33 arg  LR 10 62 72 67 45 25 300 883 795 772   3  270   0   0   1   8   4   0   1   1   0   0 100
Pity_Martinez 33 arg LRC 10 34 70 69 45 25 300 614 950 588   5  450   0   0   1   9   7   0   1   1   0   0  82
R_Aliendro    36 arg   C 10 67 70 68 35 25 300 139  29  31   5  243   0   0   2   7  10   0   0   0   0   0 100
Emma_Ojeda    29 arg   C 10 62 68 52 60 25 300 332 790   5   1   90   0   0   3   2   2   1   0   0   0   0 100
Rodri_Cabral  26 arg   L 10 30 68 63 60 25 300 974 580 938   0    0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Boye    31 arg   C 10 28 63 75 55 25 300 570 162 455  15 1158   0   0   2  21  48   5   3   0   0   0 100
David_Romero  23 arg   C 10 40 55 72 50 25 300 432 647 725  16 1114   0   0   2  17  54   6   1   3   0   0 100
I_Pusetto     31 arg  RC 10 24 62 71 55 25 300 481 625 287  15  452   0   0   0   5  23   2   0   0   0   0 100
Eric_Ramirez  30 arg  CR 10 30 59 69 55 25 300 676 923 427  16  336   0   0   1   6  20   4   2   0   0   0 100
Leo_Sequeira  32 arg  CR 10 34 60 68 45 25 300 544 736 761   0    0   0   0   0   0   0   0   0   0   0   0 100
Mati_Tissera  30 arg   C 10 22 47 67 55 25 300 624 705 818   0    0   0   0   0   0   0   0   0   0   0   0 100

