Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
A_Arias       33 arg   C 76 10 10 10 45 25 535 500 500 500   1   90   3   0   0   0   0   0   0   0   0   0 100
R_Fernandez   37 par   C 75 10 10 10 35 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
G_Velazquez   34 par  CR 10 75 48 46 35 25 500 500 500 500   1   32   0   0   0   0   0   0   0   0   3   0 100
M_Perez       27 arg   C 10 74 50 44 60 25 500 527 495 489   1   90   0   0   1   0   1   0   0   1   0   0  95
B_Riveros     28 par   L 10 73 66 36 60 25 500 512 516 494   1   90   0   0   1   2   1   0   0   0   0   0  97
F_Dominguez   27 uru  RC 10 72 70 57 60 25 500 512 500 494   1   90   0   0   1   0   1   0   0   0   0   0  94
L_Quintana    21 par   C 10 72 52 27 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
A_Luciatti    33 arg   C 10 70 45 42 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
G_Benitez     32 arg   L 10 68 52 45 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Chaparro    18 par   L 10 65 60 44 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
R_Gomez       19 par   R 10 63 51 26 45 25 500 500 500 500   1   58   0   0   0   0   0   0   0   0   0   0 100
R_Melgarejo   23 par  CR 10 62 40 31 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Iturbe      32 par  CR 10 38 76 72 45 25 500 500 533 500   1   58   0   0   0   1   0   0   1   0   0   0 100
C_Dominguez   31 par  RC 10 31 75 73 55 25 500 510 510 510   1   90   0   0   0   0   0   0   0   0   0   0  97
P_da_Motta    31 par   C 10 69 74 55 55 25 500 500 540 500   1   90   0   0   0   5   0   0   0   0   0   0  95
G_Gimenez     34 par   C 10 66 73 56 35 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Morel       28 par   C 10 68 73 60 60 25 500 524 516 500   1   90   0   0   2   2   0   0   0   0   0   0  97
I_Aliseda     26 arg  LC 10 29 72 69 60 25 500 500 500 494   1   32   0   0   0   0   1   0   0   0   0   0 100
S_Mosquera    31 col  LR 10 38 71 68 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Klimowicz   25 arg   C 10 42 70 65 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
C_Paredes     27 par   C 10 61 69 58 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
W_Viera       24 par  CL 10 55 68 58 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
A_Sonora      27 usa   C 10 36 68 60 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
G_Aguayo      21 par   R 10 36 67 61 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
F_Peralta     23 par   C 10 62 66 41 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
C_Bobadilla   19 par  CR 10 46 63 51 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
A_Cristaldo   19 par   R 10 35 62 55 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
P_Vegetti     37 arg   C 10 23 48 77 35 25 500 500 500 535   1   66   0   0   0   0   2   1   0   0   0   0 100
J_Torres      29 arg   C 10 26 52 72 60 25 500 500 508 535   1   67   0   0   0   1   2   1   0   0   0   0 100
S_Araujo      34 arg   C 10 21 55 70 35 25 500 500 500 500   1   24   0   0   0   0   0   0   0   0   0   0 100
L_Amarilla    30 par   C 10 25 50 68 55 25 500 500 500 494   1   23   0   0   0   0   1   0   0   0   0   0 100
C_Franco      18 par   C 10 28 60 63 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100

