Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
V_Bernedo     25 chi   C 72 10 10 10 55 25 665 500 500 500   6  540  27   9   0   0   0   0   0   0   0   0 100
D_Melo        32 chi   C 64 10 10 10 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
D_Gonzalez    24 chi   C 10 73 51 37 55 25 500 609 517 479   6  540   0   0   7   4   3   0   0   1   0   0  80
E_Mena        37 chi   L 10 73 65 44 35 25 500 598 595 525   6  540   0   0   9  10   4   1   1   0   0   0  67
B_Ampuero     32 chi  CR 10 72 50 46 45 25 500 545 509 485   6  423   0   0   5   3   2   0   0   1   0   0 100
B_Cerezo      31 chi  RC 10 70 55 51 55 25 500 615 551 501   6  500   0   0  10   7   7   0   0   1   0   0  86
JI_Diaz       27 arg  CL 10 70 48 38 60 25 500 524 500 541   2  130   0   0   2   0   3   1   0   0   0   0 100
T_Astaburuaga 29 chi  CR 10 69 48 42 60 25 500 536 524 494   4  117   0   0   3   3   1   0   0   0   0   0 100
S_Arancibia   19 chi   R 10 67 58 32 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
N_LHuillier   21 chi   L 10 62 51 30 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
I_Perez       19 chi   C 10 61 44 31 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Palavecino  27 arg  CL 10 46 74 68 60 25 500 485 655 497   6  540   0   0   0  15   4   0   2   1   0   0  82
Gary_Medel    38 chi   C 10 70 72 35 30 25 500 540 536 486   6  485   0   0   5   7   3   0   0   2   0   0  79
J_Giani       26 arg  CL 10 39 72 70 60 25 500 522 599 468   6  534   0   0   1   8  11   0   1   0   0   0  87
F_Zuqui       34 arg  CR 10 64 72 61 35 25 500 572 548 524   6  474   0   0   6   6   6   0   0   0   0   0  78
C_Cuevas      30 chi   L 10 51 71 64 55 25 500 500 500 494   2   12   0   0   0   0   1   0   0   0   0   0 100
J_Valencia    29 col   C 10 66 70 42 60 25 500 512 540 500   1   31   0   0   1   5   0   0   0   0   0   0 100
C_Montes      24 chi  LC 10 31 70 66 55 25 500 500 565 500   4  142   0   0   0   5   4   0   1   0   0   0  97
J_Martinez    29 chi   C 10 61 69 56 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
A_Canales     25 chi   C 10 63 68 47 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
JF_Rossel     21 esp  CL 10 35 66 60 45 25 500 500 516 488   4   63   0   0   0   2   2   0   0   0   0   0 100
A_Farias      38 arg   C 10 62 65 40 30 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
V_Carcamo     20 chi   C 10 31 64 58 45 25 500 500 500 500   3   35   0   0   0   0   2   0   0   0   0   0 100
D_Corral      21 chi  LR 10 38 63 60 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
B_Gonzalez    23 chi   C 10 48 62 51 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
F_Zampedri    38 chi   C 10 25 58 77 30 25 500 490 562 590   6  435   0   0   0   9  15   2   0   0   0   0  94
D_Valencia    26 chi  CR 10 24 52 69 60 25 500 485 509 638   5  337   0   0   0   3  12   3   0   5   0   0 100

