Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
D_Romero      24 per   C 71 10 10 10 55 25 565 500 500 500   3  270  15  11   0   0   0   0   0   0   0   0 100
M_Vargas      29 chi   C 69 10 10 10 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Rodriguez   20 per   C 61 10 10 10 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
W_Riveros     33 par   C 10 76 57 51 45 25 500 584 500 506   2  180   0   0   7   0   1   0   0   0   0   0 100
A_Santamaria  34 per   C 10 74 52 48 35 25 500 574 506 466   3  251   0   0   7   2   4   0   0   0   0   0  94
M_DiBenedetto 33 arg   C 10 73 50 42 45 25 500 509 525 473   3  270   0   0   2   5   2   0   0   1   0   0  88
A_Corzo       36 per  RC 10 72 61 53 35 25 500 500 508 500   3   19   0   0   0   1   0   0   0   0   0   0 100
J_Carabali    28 col   L 10 71 65 49 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
C_Inga        23 per  LR 10 71 64 44 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Cain_Fara     32 arg  CR 10 70 57 42 45 25 500 524 508 506   1   90   0   0   2   1   1   0   0   0   0   0  96
P_Reyna       24 per   L 10 68 58 39 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
H_Ancajima    28 per   R 10 64 52 43 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Concha      26 per   C 10 55 76 68 60 25 500 485 565 461   3  235   0   0   0  10   4   0   0   1   0   0  95
A_Polo        31 per   R 10 48 75 71 55 25 500 512 556 500   3  177   0   0   1   7   4   0   0   0   0   0 100
M_PerezGuedes 34 per   C 10 40 73 65 35 25 500 500 524 500   3  183   0   0   0   3   2   0   0   0   0   0 100
L_Alzugaray   35 arg  RL 10 33 73 70 35 25 500 492 496 486   3  211   0   0   1   2   3   0   0   0   0   0 100
J_Castillo    24 per   C 10 66 72 48 55 25 500 536 524 500   3  177   0   0   3   3   0   0   0   0   0   0 100
B_Reyna       27 per  LR 10 33 72 68 60 25 500 500 548 500   3  152   0   0   0   6   2   0   0   0   0   0  97
H_Calcaterra  37 per   C 10 55 71 57 35 25 500 512 548 512   3  122   0   0   1   6   4   0   0   0   0   0  95
H_Fertoli     31 arg   L 10 36 71 66 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Murrugarra  28 per   C 10 63 69 46 60 25 500 524 516 512   3   93   0   0   2   2   2   0   0   0   0   0 100
M_Silveira    22 bra  CL 10 42 66 62 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
S_Flores      20 per   C 10 47 59 48 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
A_Valera      29 per   C 10 26 62 75 60 25 500 524 508 553   3  199   0   0   2   1   9   1   0   0   0   0 100
E_Flores      31 per  LC 10 40 68 72 55 25 500 480 529 486   3  219   0   0   0   3   7   0   1   0   0   0 100
J_Rivera      28 per  CL 10 25 52 71 60 25 500 500 524 524   3  122   0   0   0   3   8   0   0   0   0   0  96
S_Gassama     30 sen  CR 10 27 48 67 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100

