Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
L_Mejia       35 pan   C 76 10 10 10 35 25 840 500 500 500   8  720  56  11   0   0   0   0   0   0   0   0 100
I_Suarez      24 uru   C 69 10 10 10 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
S_Coates      35 uru   C 10 80 57 52 35 25 500 591 515 487   7  552   0   0   8   5   6   0   0   1   0   0  93
A_Rogel       28 uru   C 10 74 52 48 60 25 500 621 550 461   7  559   0   0   8   5   4   0   1   1   0   0  90
J_Pintado     28 uru   R 10 73 61 42 60 25 500 596 524 535   5  450   0   0   8   3   2   1   0   0   0   0  96
C_Candido     30 uru   L 10 72 60 44 55 25 500 568 625 514   6  514   0   0   4  10   3   0   1   0   0   0  93
E_Ancheta     26 uru   R 10 71 55 36 60 25 500 466 454 436   3  259   0   0   3   3   3   0   0   6   0   0 100
N_Rodriguez   34 uru  RL 10 69 57 45 35 25 500 500 508 500   2  116   0   0   0   1   0   0   0   0   0   0 100
P_Calione     19 uru   C 10 68 52 30 45 25 500 557 509 485   5  379   0   0   6   3   4   0   0   1   0   0 100
T_Viera       20 uru   C 10 65 47 29 45 25 500 536 500 500   1   90   0   0   3   0   0   0   0   0   0   0 100
F_Bais        18 uru   L 10 64 48 38 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
N_Lodeiro     37 uru   C 10 38 75 72 35 25 500 521 605 526   8  535   0   0   3  15   5   1   0   1   0   0  92
L_Boggio      27 uru   C 10 60 75 61 60 25 500 560 580 500   6  431   0   0   5  10   4   0   0   0   0   0  97
M_Vera        27 arg   C 10 66 72 47 60 25 500 545 541 479   7  504   0   0   5   7   5   0   0   1   0   0 100
T_Veron_Lupi  25 arg  RL 10 39 71 67 55 25 500 500 604 529   7  488   0   0   0  13   5   1   0   0   0   0  99
L_Rodriguez   32 uru  CR 10 57 71 55 45 25 500 584 572 494   5  439   0   0   7   9   1   0   0   0   0   0  94
JC_de_Santos  23 uru  LR 10 36 70 65 50 25 500 524 556 506   6  418   0   0   2   7   9   0   0   0   0   0 100
B_Barcia      25 uru  CR 10 53 68 58 55 25 500 500 541 506   1   63   0   0   0   2   1   0   1   0   0   0 100
R_Martinez    18 uru  LC 10 33 66 57 40 25 500 492 528 456   4  259   0   0   1   6   4   0   0   2   0   0 100
A_Dos_Santos  18 uru   C 10 41 65 56 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
B_Arady       18 uru   L 10 35 64 60 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
E_Mereles     20 uru   L 10 31 63 56 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Guzman      21 col   C 10 44 61 51 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
N_Lopez       32 uru  CR 10 26 57 78 45 25 500 490 506 677   6  467   0   0   0   2  20   5   0   0   0   0 100
M_Gomez       29 uru   C 10 26 55 76 60 25 500 502 555 502   8  523   0   0   1   5  14   0   1   0   0   0  96
M_Silvera     28 uru   C 10 24 52 75 60 25 500 500 500 488   4  112   0   0   0   0   4   0   0   0   0   0 100
G_Carneiro    30 uru   C 10 22 48 72 55 25 500 500 500 500   1   31   0   0   0   0   2   0   0   0   0   0 100

