Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Jere_Ledesma  34 arg   C 80 10 10 10 35 25 650 300 300 300  22 1949 103   9   0   0   0   0   0   0   0   0 100
Lauta_Morales 27 arg   C 69 10 10 10 60 25 325 300 300 300   2  121   1   1   0   0   0   0   0   0   0   0 100
Santi_Beltran 22 arg   C 61 10 10 10 50 25 600 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Valen_Gomez   23 arg   C 10 79 63 33 50 25 300 435 324 478  22 1688   0   0  21  18  20   0   4   3   0   0 100
Gonza_Montiel 30 arg   R 10 78 73 63 55 25 300 736  31 227  17 1471   0   0  13  18  11   1   1  13   0   2 100
L_Martinez_Q  30 arg   C 10 77 61 54 55 25 300 739 991 459  23 1687   0   0  22  11  24   1   0   2   0   0  95
Fabri_Bustos  30 arg   R 10 76 74 65 55 25 300 961 266 567  10  686   0   0   7  18   6   1   0   1   0   0 100
Gabriel_Rojas 29 arg   L 10 76 70 60 60 25 300  38 318 596  17 1514   0   0  13  34  11   1   1   2   0   0  95
Paulo_Diaz    32 chi   C 10 75 65 59 45 25 300 609 554  60  16  765   0   0   9  10  12   0   2   1   0   0  92
Elias_Gomez   32 arg   L 10 74 69 61 45 25 300 535 481 727   7  556   0   0   3   8   7   0   0   1   0   0 100
G_Pezzella    35 arg   C 10 70 55 50 35 25 300 885 157  12   0    0   0   0   0   0   0   0   0   0   0   0 100
Facu_Gonzalez 20 arg  CL 10 63 50 38 45 25 300 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
T_Cavanagh    26 arg   L 10 62 58 37 60 25 300  46 292 260   0    0   0   0   0   0   0   0   0   0   0   0 100
Kevin_Castano 26 col   C 10 73 80 66 60 25 300 977 402  31  20 1476   0   0  11  41  16   2   3   7   0   0 100
Emi_Buendia   30 arg  CL 10 58 79 76 55 25 300 397 710 704  23 1789   0   0   6  45  55  11   1   1   0   0 100
Felipe_Loyola 26 chi   C 10 70 79 65 60 25 300 311 407 607  22 1688   0   0  13  34  27   3   5   3   0   0 100
A_Di_Maria    39 arg  RL 10 37 79 77 30 25 300 288 205 781  20 1253   0   0   1  30  28   2   3   1   0   0 100
L_Ocampos     33 arg  LR 10 62 79 75 45 25 300 487  47 853  23 1685   0   0   5  37  24   3   0   0   0   0 100
G_Rodriguez   33 arg   C 10 75 77 54 45 25 300 828 919 333  21  667   0   0   6  21   5   1   0   0   0   0  93
G_Galoppo     27 arg   C 10 69 75 71 60 25 300 509 409 646  19  520   0   0   1  17  15   1   1   0   0   0 100
Alex_Manyoma  24 col  RL 10 36 74 68 55 25 300 816 760 907  18  914   0   0   4  20  20   0   1   0   0   0  95
Maxi_Salas    29 arg CLR 10 38 71 79 60 25 300 409 618 750  21 1634   0   0   1  29  75   6   3   3   0   0  95
Ian_Subiabre  20 arg  LC 10 34 65 74 45 25 300 977 461 934  19  585   0   0   0  10  20   3   0   0   0   0 100
D_Godoy       21 arg   C 10 28 46 70 45 25 300 301 349 755   3   53   0   0   0   0   0   0   0   0   0   0 100
J_Freitas     20 arg   C 10 27 51 67 45 25 300 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100

