Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Hugo_Souza    27 bra   C 82 10 10 10 60 25 610 500 500 500   5  450  10   2   0   0   0   0   0   0   0   0 100
F_Longo       21 bra   C 68 10 10 10 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Kaue          22 bra   C 64 10 10 10 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
G_Paulista    35 bra   C 10 80 62 55 35 25 500 557 542 467   5  375   0   0   6   4   3   0   1   1   0   0  93
G_Henrique    33 bra   C 10 77 60 58 45 25 500 568 590 476   5  345   0   0   4   5   4   0   2   0   0   0  94
Matheuzinho   25 bra   R 10 77 65 51 55 25 500 533 509 485   4  360   0   0   4   3   0   0   0   1   0   0  97
A_Ramalho     34 bra   C 10 77 58 56 35 25 500 532 500 506   2  180   0   0   1   0   1   0   0   0   0   0 100
Matheus_Bidu  26 bra   L 10 76 68 65 60 25 500 519 551 495   3  270   0   0   2   7   0   0   0   1   0   0 100
F_Angileri    32 arg   L 10 74 67 42 45 25 500 534 526 545   2  180   0   0   2   2   2   1   0   0   0   0  96
P_Milans      24 uru   R 10 74 57 39 55 25 500 544 500 494   1   90   0   0   2   0   1   0   0   0   0   0 100
Tchoca        22 bra   C 10 72 48 37 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Hugo          28 bra   L 10 69 62 43 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Breno_Bidon   21 bra   C 10 44 78 73 45 25 500 522 534 516   4  304   0   0   1   3   3   0   0   0   0   0 100
R_Garro       28 arg   C 10 38 77 75 60 25 500 510 534 557   5  383   0   0   0   3   4   1   0   0   0   0  98
Raniele       29 bra   C 10 75 77 51 60 25 500 502 554 490   4  360   0   0   1   8   2   0   0   0   0   0  94
J_Lingard     33 ing  CR 10 32 77 74 45 25 500 490 530 496   5  360   0   0   0   5   3   0   0   0   0   0  95
A_Carrillo    34 per  CR 10 57 76 68 35 25 500 512 524 494   2  180   0   0   1   3   1   0   0   0   0   0 100
Math_Pereira  28 bra   C 10 55 74 66 60 25 500 500 500 500   1   90   0   0   0   0   0   0   0   0   0   0 100
Allan         29 bra   C 10 69 73 42 60 25 500 512 524 500   2  180   0   0   1   3   0   0   0   0   0   0  97
Vitinho       32 bra  LC 10 31 73 70 45 25 500 485 550 479   2  180   0   0   0   5   1   0   1   1   0   0  96
Andre_Luiz    19 bra  CL 10 46 72 68 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Kaio_Cesar    22 bra   R 10 35 72 67 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Z_Labyad      33 mar   C 10 41 71 68 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Charles       29 bra   C 10 67 70 57 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Memphis_Depay 32 ned  CL 10 29 69 82 45 25 500 500 516 529   3  196   0   0   0   2   7   1   0   0   0   0 100
Yuri_Alberto  25 bra   C 10 24 59 80 55 25 500 512 548 558   4  360   0   0   1   6  10   2   0   0   0   0  99
Pedro_Raul    29 bra   C 10 23 47 74 60 25 500 520 528 514   2  107   0   0   0   1   3   0   0   0   0   0 100
Gui_Negao     19 bra   C 10 25 50 70 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100

