Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Jean          31 bra   C 77 10 10 10 55 25 171 300 300 300  22 1913 147  13   0   0   0   0   0   0   0   0 100
Facu_Masuero  27 arg   C 66 10 10 10 60 25 278 300 300 300   1   67   1   1   0   0   0   0   0   0   0   0 100
J_Kadijevic   23 arg   C 60 10 10 10 50 25 450 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Luca_Ferreira 26 uru   C 10 74 54 51 60 25 300 355 990 743  19 1651   0   0  18   7  17   1   0   2   0   0  93
Nicolas_Paz   24 arg  RC 10 74 59 40 55 25 300 361 278 853  19 1619   0   0  20  19  18   0   0   0   0   0  91
Rodri_Insua   29 arg   L 10 73 63 56 60 25 300 619 412 284  12  922   0   0   7  21  11   0   0   0   0   0 100
Eze_Cannavo   24 arg   R 10 74 64 53 55 25 300 215 102 464  15 1277   0   0  17  22   5   0   2   2   0   0 100
T_Silvero     21 arg  CR 10 71 49 26 45 25 300 438  96  81   7  423   0   0   7   5   2   0   0   0   0   0  93
Tobias_Rubio  22 arg  RC 10 71 60 42 50 25 300  71 914 705  11  741   0   0   6   5   4   1   0   0   0   0 100
F_Herrera     21 arg   C 10 71 45 32 45 25 300  54 920 825   6  371   0   0   9   0   2   0   0   0   0   0 100
Lucas_Rguez   33 arg   L 10 68 62 53 45 25 300 807 730 526  10  900   0   0   8   9   1   0   0   3   0   0  88
S_Lucero      22 arg  CL 10 66 49 39 50 25 300  81   3 917   0    0   0   0   0   0   0   0   0   0   0   0 100
Guille_Cosaro 38 arg  LC 10 65 52 50 30 25 300 767 637 436   0    0   0   0   0   0   0   0   0   0   0   0 100
Lauti_Millan  21 arg  RC 10 39 75 68 45 25 300 700 658 837  22 1690   0   0   1  46  41   2   5   3   0   0  84
Jhohan_Julio  29 ecu  LC 10 55 75 72 60 25 500 500 532 506   4   79   0   0   0   4   5   0   0   0   0   0 100
Lucas_Gzalez  26 arg   C 10 65 75 61 60 25 300 133 205 867  16 1324   0   0   4  21  18   1   1   2   4   0 100
L_Vera        30 arg   C 10 65 75 59 55 25 300 331 182  29  14 1260   0   0  11  27  16   0   0   1   0   0 100
Mauro_Pitton  32 arg  CR 10 68 74 60 45 25 300 538 726 111  17 1528   0   0  10  37  10   0   3   2   0   0  87
Feli_Carballo 30 uru  CL 10 66 74 68 55 25 300 347 573 257  14 1249   0   0   6  31  21   0   2   1   0   0  84
K_Gutierrez   29 arg   C 10 68 74 61 60 25 300  36 415 312  14 1241   0   0   7  28  17   2   0   5   0   0  92
Martin_Rio    26 arg   C 10 67 72 44 60 25 300 198 769 837  11  990   0   0  10  22  10   1   1   0   0   0 100
Lolo_Miranda  33 arg   C 10 66 70 61 45 25 300 349  69 150   2  102   0   0   0   1   2   1   0   0   0   0 100
Santi_Lencina 21 arg  CL 10 31 69 58 45 25 300 700  37 700  14  338   0   0   0   8   4   0   0   0   0   0 100
B_Schamine    23 arg   C 10 56 66 51 50 25 300 303 605 272   0    0   0   0   0   0   0   0   0   0   0   0 100
N_Palavecino  24 arg  LC 10 47 64 61 55 25 300   7 609  13   0    0   0   0   0   0   0   0   0   0   0   0 100
Santi_Hidalgo 22 arg  CR 10 35 60 75 50 25 300 221 592 405  21 1503   0   0   2  21  74   7   1   0   0   0  97
Ronaldo_Mtnez 31 par   C 10 26 56 70 55 25 300 344 537 551  21  524   0   0   0   3  23   2   0   0   0   0 100
J_Miritello   28 arg   C 10 25 49 68 60 25 300 540 641 579   3   47   0   0   1   0   2   0   0   0   0   0 100

