Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
A_Mosquera    34 col   C 75 10 10 10 35 25 525 500 500 500   1   90   5   2   0   0   0   0   0   0   0   0 100
W_Asprilla    26 col   C 65 10 10 10 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
V_Moreno      31 col   C 10 74 54 52 55 25 500 536 524 506   1   90   0   0   3   3   1   0   0   0   0   0  95
E_Olivera     35 arg   C 10 73 55 46 35 25 500 500 500 500   1   90   0   0   0   0   0   0   0   0   0   0  97
C_Mafla       33 col   L 10 72 67 55 45 25 500 500 540 500   1   90   0   0   0   5   0   0   0   0   0   0  98
L_Palacios    24 col  RL 10 71 57 38 55 25 500 485 493 491   1   74   0   0   0   1   1   0   0   1   0   0 100
H_Palacios    32 col  RC 10 69 61 42 45 25 500 500 500 494   1   16   0   0   0   0   1   0   0   0   0   0 100
J_Quintero    31 col   C 10 68 42 40 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
I_Scarpeta    29 col   C 10 68 48 45 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Angulo      29 col   L 10 67 55 51 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Puerta      28 col   R 10 66 52 41 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Y_Perlaza     23 col   R 10 65 50 38 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
D_Torres      36 esp   C 10 67 74 60 35 25 500 524 566 500   1   90   0   0   2   2   0   0   2   0   0   0  93
Y_Velasquez   26 col   C 10 69 73 44 60 25 500 500 516 506   1   90   0   0   0   2   1   0   0   0   0   0  98
O_Fernandez   33 col  LR 10 37 72 67 45 25 500 500 508 512   1   64   0   0   0   1   2   0   0   0   0   0 100
J_Torres      23 col   C 10 58 72 62 50 25 500 500 524 541   1   90   0   0   0   3   3   1   0   0   0   0  94
E_Murillo     25 col   C 10 64 71 52 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Obrian      30 col  RL 10 35 71 65 55 25 500 500 524 500   1   90   0   0   0   3   0   0   0   0   0   0  99
A_Zapata      30 col  CL 10 40 70 66 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Lovera      27 arg  LR 10 36 69 63 60 25 500 500 500 500   1   26   0   0   0   0   0   0   0   0   0   0 100
E_Mosquera    24 col  LR 10 32 67 61 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Melendez    24 col   R 10 38 66 57 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
K_Toscano     22 col   C 10 57 64 41 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
H_Rodallega   40 col   C 10 22 57 76 30 25 500 500 500 547   1   64   0   0   0   0   4   1   0   0   0   0 100
F_Fagundez    25 uru   C 10 31 65 68 55 25 500 500 500 500   1   26   0   0   0   0   2   0   0   0   0   0 100

