Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Carlos_Miguel 27 bra   C 76 10 10 10 60 25 775 500 500 500   8  642  39   5   0   0   0   0   0   0   0   0 100
Marcelo_Lomba 39 bra   C 71 10 10 10 30 25 535 500 500 500   2  168   7   4   0   0   0   0   0   0   0   0 100
Aranha        21 bra   C 63 10 10 10 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
G_Gomez       32 par   C 10 83 60 58 45 25 500 694 574 498   8  648   0   0  12   8   8   0   0   0   5   0 100
J_Piquerez    27 uru   L 10 80 75 66 60 25 500 572 645 565   8  720   0   0   6  15  13   1   1   0   0   0 100
Murilo        28 bra   C 10 80 58 55 60 25 500 646 575 480   8  720   0   0   8   5   9   0   1   0   0   0  95
Khellven      25 bra   R 10 76 71 56 55 25 500 557 573 467   8  564   0   0   6  11   7   0   0   1   0   0 100
A_Giay        22 arg   R 10 75 64 41 50 25 500 524 589 494   5  246   0   0   2   8   3   0   1   0   0   0 100
Bruno_Fuchs   26 bra   C 10 75 51 44 60 25 500 534 534 522   3  206   0   0   2   3   2   0   0   0   0   0  95
Jefte         22 bra   L 10 72 67 60 50 25 500 500 516 500   1   90   0   0   0   2   0   0   0   0   0   0  98
Arthur_Sant   20 bra   L 10 66 57 52 45 25 500 500 500 500   1   46   0   0   0   0   0   0   0   0   0   0 100
L_Benedetti   19 bra   C 10 65 51 50 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Andreas_Per   30 bra   C 10 52 81 75 55 25 500 544 712 583   9  723   0   0   2  24  27   3   0   0   0   0 100
Jhon_Arias    28 col  RC 10 38 80 77 60 25 500 514 659 549   8  685   0   0   2  18  10   1   1   0   0   0  99
Marlon_Freit  30 bra   C 10 75 78 62 55 25 500 596 693 470   8  688   0   0   8  21  11   0   1   0   0   0  97
Mauricio      24 par  CL 10 43 78 74 55 25 500 482 744 511   8  694   0   0   1  28  11   1   2   2   0   0  96
Allan         21 bra  RC 10 39 76 72 45 25 500 522 622 504   4  186   0   0   1  14   5   0   0   0   0   0 100
Felipe_Ander  32 bra  LR 10 57 76 68 45 25 500 500 532 500   1   90   0   0   0   4   2   0   0   0   0   0 100
Ramon_Sosa    26 par   L 10 35 75 69 60 25 500 512 508 500   1   21   0   0   1   1   0   0   0   0   0   0 100
Emiliano_Mar  26 uru   C 10 72 75 42 60 25 500 536 564 500   4  174   0   0   3   8   0   0   0   0   0   0 100
Lucas_Evang   31 bra  CR 10 62 74 61 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Riquelme_Fil  19 bra   L 10 32 66 63 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Luis_Pacheco  18 bra   C 10 60 63 46 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Figueiredo    20 bra   C 10 48 63 55 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Larson        20 bra  CR 10 51 62 55 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Vitor_Roque   21 bra   C 10 28 65 80 45 25 500 470 583 604   9  626   0   0   0  11  29   4   1   2   0   0 100
J_M_Lopez     25 arg   C 10 27 70 80 55 25 500 485 583 566   9  707   0   0   0   6  38   3   2   1   0   0  94
Paulinho      25 bra  CL 10 24 72 78 55 25 500 500 572 494   8  184   0   0   0   9  11   0   0   0   0   0 100
Luighi        19 bra  CL 10 26 57 66 45 25 500 490 522 502   5   82   0   0   0   4  10   0   0   0   0   0 100

