Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Fran_Petroli  28 arg   C 76 10 10 10 60 25  40 300 300 300  11  974  61  15   0   0   0   0   0   0   0   0 100
Orlando_Gill  26 par   C 69 10 10 10 60 25 315 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Valentin_Sosa 20 arg   C 61 10 10 10 45 25 305 300 300 300   1   16   1   0   0   0   0   0   0   0   0   0 100
Edil_Salinas  24 arg   C 61 10 10 10 55 25 415 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Arce    29 arg   R 10 73 63 48 60 25 300 297 773 428  10  840   0   0   7   7   3   0   0   3   0   0  94
F_Rasmussen   35 arg  CL 10 72 61 47 35 25 300 200 559 265   8  699   0   0  10   3   3   0   0   1   0   0 100
Santiago_Fdez 22 arg   C 10 70 43 37 50 25 300 678 258 150   9  810   0   0  10   2   5   0   0   2   0   0  92
Leonardo_Jara 36 arg  RC 10 68 64 55 35 25 300 242 761 495   5  410   0   0   6   3   2   0   0   1   0   0 100
Juan_Moran    20 arg   L 10 69 60 44 45 25 300 495 310 104   9  722   0   0   8   5   0   0   0   1   0   0  88
Jo_Pereyra    21 arg   L 10 65 56 41 45 25 300 312 348 300   4  268   0   0   1   6   0   0   0   0   0   0 100
Lean_Quiroz   23 arg   C 10 65 42 34 50 25 300  69 714 642   4  261   0   0   3   3   4   0   0   1   0   0 100
J_I_Lopez     18 arg   C 10 60 41 34 40 25 300 428 324 306   5  310   0   0   9   3   3   0   0   0   0   0  96
Justin_Lerma  19 ecu  CL 10 40 73 65 45 25 300 939 699 955   9  784   0   0   0  14   5   0   0   0   0   0  94
J_Saralegui   23 arg  CR 10 63 72 62 50 25 300 380 387 260   8  699   0   0   4  13   4   0   0   1   0   0  87
Ema_Cecchini  30 arg   C 10 67 71 63 55 25 300 320 491 302   6  503   0   0   3  11   4   0   0   0   0   0 100
B_Zuculini    34 arg   C 10 67 69 66 35 25 300 274 876  28   4  315   0   0   3   6   5   0   0   0   0   0 100
A_D_L_Cuesta  21 arg   C 10 64 70 62 45 25 300 585 202 435   5  405   0   0   4   4   2   0   0   1   1   0 100
Igna_Perruzzi 22 arg   C 10 62 68 38 50 25 300 968 388 830   5  450   0   0   1   8   4   0   0   0   0   0  99
Cris_Jaime    21 arg  LR 10 52 69 60 45 25 300  97 217 126   4  360   0   0   1   4   3   1   0   1   0   0 100
Tomas_Pozzo   26 arg  CR 10 45 65 62 60 25 300  40 690  28   1   90   0   0   0   2   0   0   0   0   0   0  99
Fran_Basualdo 20 arg  RC 10 33 63 58 45 25 300 312 324 294   4  243   0   0   1   3   3   0   0   0   0   0 100
Denis_Quichu  18 bol   C 10 55 59 34 40 25 300 338 339 290   4  291   0   0   4   3   0   0   1   0   0   0 100
M_Paniagua    19 bol  CL 10 26 53 71 45 25 300 214 393 519   9  744   0   0   3   3  11   0   0   0   0   0  87
Daniel_Barrea 25 arg  CL 10 32 58 65 55 25 300 250 250   0   0    0   0   0   0   0   0   0   0   0   0   0 100
F_Dominguez   19 arg   C 10 26 48 62 45 25 300 300 300 306   1   66   0   0   0   0   1   0   0   0   0   0 100
Lucho_Romano  20 arg   C 10 24 48 60 45 25 300 300 341 300   2  180   0   0   0   2   4   0   1   0   0   0  95
Joaquin_Juri  17 arg   C 10 22 45 59 40 25 300 287 307 828   5  450   0   0   1   4  13   1   0   1   0   0 100

