Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
T_Marchiori   31 arg   C 77 10 10 10 55 25  30 300 300 300   7  547  28  10   0   0   0   0   0   0   0   0 100
Facu_Cambeses 30 arg   C 73 10 10 10 55 25 728 300 300 300   2  173   5   0   0   0   0   0   0   0   0   0 100
Van_Der_Tuin  21 arg   C 62 10 10 10 45 25 300 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Zaid_Romero   27 arg  CL 10 78 53 46 60 25 300 160 658 223   6  540   0   0   9   2   6   0   0   0   0   0  98
Seba_Boselli  23 uru  CR 10 77 62 53 50 25 300  81  37 730   5  444   0   0   4   7   9   0   1   1   1   0 100
Tenaglia      31 arg  RC 10 76 65 44 55 25 300 442 412 296   3  186   0   0   2   1   2   0   0   1   0   0 100
Eric_Meza     28 arg   R 10 75 68 63 60 25 300 991 656 640   8  507   0   0   4   8   9   0   0   0   0   0 100
S_Ramos_Mingo 25 arg   C 10 75 57 41 55 25 300 703  49 973   3  270   0   0   2   3   2   0   0   0   0   0  97
S_Arzamendia  29 par   L 10 74 67 65 60 25 300 840 736 273   6  540   0   0   3  14   3   1   0   3   0   0  97
Tomas_Guidara 31 arg   R 10 72 63 45 55 25 300 986 398  49   8  213   0   0   2   5   3   0   0   0   0   0 100
Adrian_Sporle 31 arg   L 10 70 62 55 55 25 300 690  31 979   2  180   0   0   0   1   2   0   0   0   0   0 100
Milton_Casco  39 arg  LR 10 66 65 61 30 25 300 618 815 194   0    0   0   0   0   0   0   0   0   0   0   0 100
Valen_Pierani 21 arg   C 10 63 47 40 45 25 300 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Agus_Cardozo  30 arg   C 10 70 76 53 55 25 300 661 983  78   6  540   0   0   4  12   3   0   0   1   0   0  97
T_Palacios    26 uru   R 10 42 77 72 60 25 300 773  33 378   8  458   0   0   0  19   6   0   1   0   0   0 100
Cris_Medina   24 arg  CR 10 69 77 65 55 25 300 588  27 174   5  450   0   0   5  17   9   0   2   0   0   0 100
Edwuin_Cetre  29 col  LR 10 39 76 71 60 25 300  14  20 283   5  262   0   0   1   6   2   0   1   0   0   0 100
Nico_Vallejo  23 arg  RL 10 45 75 66 50 25 300 563 929 455   8  458   0   0   1  11  11   0   0   2   0   0 100
Renzo_Tesuri  30 arg   R 10 41 74 66 55 25 300 404  51 900   5  262   0   0   0  13   5   0   1   1   0   0 100
Mati_Galarza  25 arg   C 10 66 73 56 55 25 300 835 607 354   2  180   0   0   2   4   4   1   0   0   0   0 100
Fede_Fattori  34 arg   C 10 71 73 53 35 25 300 544 582 291   2  180   0   0   1   4   0   0   0   0   0   0 100
Bruno_Leyes   25 arg   C 10 66 71 53 55 25 300 782 893 588   3  270   0   0   2   3   2   0   0   0   0   0  99
Fabri_Perez   21 arg  LR 10 37 71 65 45 25 300 300 316 306   1   90   0   0   0   2   1   0   0   0   0   0 100
Enzo_Perez    41 arg   C 10 67 68 62 50 25 300 900 609 698   2  180   0   0   0   4   2   0   0   0   0   0  98
Duvan_Zapata  35 col   C 10 28 64 79 35 25 300 300 372 423   8  540   0   0   0   9  33   3   0   0   0   0  93
Facu_Colidio  27 arg   C 10 36 70 77 60 25 300 800 514  92   6  386   0   0   0   6  16   2   0   1   0   0 100
Walter_Bou    33 arg   C 10 30 61 72 45 25 300 592 765 103   1   64   0   0   0   1  10   3   0   0   0   0 100

