Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Javier_Burrai 36 ecu   C 74 10 10 10 35 25 779 300 300 300  23 2070 138  23   0   0   0   0   0   0   0   0 100
R_Ramirez     30 arg   C 68 10 10 10 55 25  70 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
S_Barbi       22 arg   C 60 10 10 10 50 25 830 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Franco_Pardo  30 arg   C 10 74 52 43 55 25 300 881 259 289  15 1164   0   0  14  10  12   0   1   3   0   0  99
Marcos_Rojo   37 arg   C 10 73 62 55 35 25 300 950 179 843  12 1064   0   0  13  12  18   0   2   0   0   0 100
J_I_Saborido  29 arg   R 10 73 62 45 60 25 300 781 766 174  12 1076   0   0  15  14   7   0   0   7   0   0 100
Tomas_Cardona 31 arg   C 10 73 53 43 55 25 300 593 638 437  14 1189   0   0  19   7  18   0   1   7   0   0  83
O_Ontivero    21 arg   L 10 73 58 39 45 25 300 126 569 276  12 1080   0   0  10  11   5   0   0   3   0   0 100
Dante_Alvarez 31 arg   L 10 72 59 45 55 25 300  81 792 527  10  900   0   0  10  17   3   1   1   2   0   0  97
Tomas_Rossi   28 arg   C 10 69 48 33 60 25 300 303 767 717   4  286   0   0   1   1   2   0   0   0   0   0 100
Kevin_Jappert 23 arg  CR 10 66 45 39 50 25 300 412 474 438   1   90   0   0   1   0   1   0   0   0   0   0  96
Lucio_Ferrari 19 arg   C 10 64 47 40 45 25 300 466 314 384  13  735   0   0  13   3   6   2   0   0   0   0 100
M_Zalazar     18 arg   R 10 61 46 38 40 25 300 326 334 271  10  900   0   0   8  13   5   1   0   4   0   0 100
J_Mosqueira   22 arg   C 10 69 76 54 50 25 300 660 910 828  16 1305   0   0  15  19  10   0   0   2   0   0  98
F_Cristaldo   30 arg   C 10 57 76 72 55 25 300 394 656 344  19 1306   0   0   7  37  30   2   2   0   0   0  97
Matias_Rojas  31 par  CR 10 55 75 71 55 25 300 415 537 280  13 1038   0   0   4  23  13   0   0   2   0   0 100
Nicolas_Oroz  33 arg  CR 10 61 74 66 45 25 300  82 899 847   9  690   0   0   5  12   8   0   0   0   0   0  91
Vicen_Poggi   24 uru   C 10 66 74 54 55 25 300  94 534 613  13  944   0   0  14  26  13   0   2   2   0   0 100
Maxi_Meza     34 arg CRL 10 68 73 71 35 25 300 445 988 392  19 1179   0   0   2  20  10   1   1   1   0   0 100
Nicolas_Fdez  29 uru   C 10 66 74 62 60 25 300 238   5 866  15  844   0   0   4  30   9   0   2   1   0   0 100
Fran_Minerva  21 arg   L 10 33 73 61 45 25 300 303 765 219  13  828   0   0   2  25   9   0   3   1   0   0  99
Mau_Martinez  34 arg   C 10 67 70 55 35 25 300 610 917  45   7  323   0   0   1   6   3   0   0   0   0   0 100
Kevin_Ortiz   26 arg   C 10 68 69 50 60 25 300  15 544 913   2  126   0   0   2   0   2   0   0   0   0   0 100
Fran_Zapiola  26 arg  LC 10 56 67 62 60 25 300 911 383 939   6  350   0   0   1   7   9   2   0   1   0   0 100
Gio_Baroni    18 arg   C 10 36 67 61 40 25 300 295 415 336   6  440   0   0   0  15   5   1   0   1   0   0 100
V_Depietri    26 arg  LR 10 36 65 62 60 25 300 235  17 306   0    0   0   0   0   0   0   0   0   0   0   0 100
J_M_Lucero    35 arg   C 10 34 62 73 35 25 300 479 728 819  13  882   0   0   0  13  35   3   1   2   0   0  99
Rami_Enrique  26 arg  CL 10 27 61 72 60 25 300 186 402 165  18 1292   0   0   2  19  53   6   0   0   0   0 100
A_Vombergar   32 esl   C 10 28 57 71 45 25 300 803 124 332  10  665   0   0   2  10  26   2   0   1   0   0  93

