Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Rodrigo_Rey   36 arg   C 79 10 10 10 35 25 810 300 300 300  17 1506  99  13   0   0   0   0   0   0   0   0 100
F_Sanguinetti 26 arg   C 73 10 10 10 60 25  17 300 300 300   6  474  36   7   0   0   0   0   0   0   0   0 100
J_Blazquez    26 arg   C 63 10 10 10 60 25 295 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Alvaro_Angulo 30 col   L 10 76 71 67 55 25 300 620 617 674  22 1553   0   0   9  36  16   0   1   1   0   0 100
Fran_Alvarez  27 arg   C 10 76 52 42 60 25 300  71 931 627  13 1133   0   0  19  11  10   2   0   2   0   0 100
Mati_Catalan  34 chi  CR 10 75 66 52 35 25 300 458 837 915  11  990   0   0  13  12  12   1   1   1   0   0 100
Gas_Hernandez 29 arg   C 10 75 53 45 60 25 300 289 334 370  11  990   0   0   9   9  12   2   0   0   0   0 100
Leo_Godoy     32 arg   R 10 73 69 54 45 25 300 683 542 665  11  990   0   0  12  23   5   1   2   4   0   0  94
Seba_Valdez   31 arg   C 10 73 51 44 55 25 300 468 617 190  11  990   0   0  13  12  11   0   0   0   0   0  98
Migue_Navarro 28 ven   L 10 72 62 39 60 25 300 892  13 504  22  421   0   0   4   8   5   0   0   0   0   0 100
Federico_Vera 29 arg   R 10 71 63 41 60 25 300 508 281 724  11  847   0   0   7  18   8   0   0   0   0   0 100
G_Bordon      22 arg   C 10 61 42 30 50 25 300 636   8   0   0    0   0   0   0   0   0   0   0   0   0   0 100
S_Ascacibar   30 arg   C 10 72 79 70 55 25 300 747  82 593  22 1654   0   0   9  44  28   0   1   1   0   0  97
Santi_Montiel 26 arg  LR 10 43 77 72 60 25 300 627 603 912  18 1235   0   0   5  30  26   3   1   1   0   0  99
Gaston_Togni  29 arg   L 10 62 76 70 60 25 300 254 407 199  13 1118   0   0   7  22  25   1   1   3   0   0  97
Ivan_Marcone  36 arg   C 10 72 75 58 35 25 300 764 808 201  11  990   0   0  15  18   6   0   0   1   0   0  96
Bruno_Zapelli 24 arg   C 10 31 75 71 55 25 300 281 519 257  11  941   0   0   3  28  22   0   2   7   0   0 100
W_Mazzantti   30 arg  RC 10 33 75 72 55 25 300 497 446 436  13 1118   0   0   3  27  28   1   1   2   0   0 100
Agus_Medina   20 arg   C 10 67 75 52 45 25 300 850 367 644  11  990   0   0   9  28   6   0   3   1   0   0 100
Vicen_Taborda 25 arg  CL 10 42 73 69 55 25 300 294 548  97  11  990   0   0   0  18  27   0   1   2   0   0  95
Brian_Aguirre 24 arg  LR 10 33 72 65 55 25 300 572 937 474  22  489   0   0   2  10  17   0   0   0   0   0 100
J_C_Meza      19 arg   C 10 64 72 60 45 25 300 477 568 363  21  326   0   0   3   7   7   0   0   0   0   0 100
T_Parmo       19 arg   C 10 46 67 63 45 25 300 200  72 247   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Medina      20 arg   C 10 48 63 51 45 25 300 100 864 106   0    0   0   0   0   0   0   0   0   0   0   0 100
E_Taborda     22 arg  RC 10 39 63 50 50 25 300   0 624   0   0    0   0   0   0   0   0   0   0   0   0   0 100
Seba_Driussi  31 arg   C 10 33 68 76 55 25 300 200 846 679  22 1495   0   0   5  20  74  12   0   0   0   0  98
Mati_Gimenez  28 arg   C 10 32 63 73 60 25 300 303 869 327  22  485   0   0   2  14  19   2   0   0   0   0 100
Maestro_Puch  23 arg   C 10 29 55 66 50 25 300   6  50 523   0    0   0   0   0   0   0   0   0   0   0   0 100

