Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Cassio        38 bra   C 77 10 10 10 30 25 610 500 500 500   3  219  22   2   0   0   0   0   0   0   2   0 100
M_Cunha       24 bra   C 73 10 10 10 55 25 525 500 500 500   1   51   1   0   0   0   0   0   0   0   0   0 100
Otavio_Costa  20 bra   C 65 10 10 10 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
F_Bruno       30 bra   C 10 80 58 52 55 25 500 580 500 494   3  270   0   0   5   0   7   0   0   0   0   0  87
William       30 bra   R 10 77 69 53 55 25 500 521 525 485   2  180   0   0   3   5   0   0   0   1   0   0 100
L_Villalba    31 arg  CL 10 76 62 46 55 25 500 584 516 506   3  211   0   0   7   2   1   0   0   0   0   0 100
Kaiki         23 bra   L 10 75 62 39 50 25 500 524 556 500   3  270   0   0   2   7   2   0   0   0   0   0  90
Joao_Marcelo  25 bra   C 10 73 52 47 55 25 500 524 500 500   1   90   0   0   2   0   0   0   0   0   0   0  98
Fagner        36 bra   R 10 73 70 55 35 25 500 524 500 506   2  123   0   0   2   0   1   0   0   0   0   0  96
J_Jesus       21 bra   C 10 69 47 41 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Kaua_Prates   17 bra  LC 10 66 55 42 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Kaua_Moraes   19 bra   R 10 65 55 49 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Bruno_Alves   20 bra   C 10 63 50 48 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Janderson     20 bra   C 10 60 44 41 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Pereira     29 bra  CR 10 36 81 75 60 25 500 492 618 521   3  249   0   0   1  11   3   1   2   2   0   0  91
Gerson        28 bra  CR 10 68 80 72 60 25 500 512 548 541   3  198   0   0   1   6   5   1   0   0   0   0 100
L_Romero      31 arg   C 10 73 77 61 55 25 500 512 532 500   3  264   0   0   1   4   0   0   0   0   0   0  90
Christian     25 bra  CR 10 58 76 70 55 25 500 512 549 506   3  218   0   0   1   3   1   0   1   0   0   0 100
Lucas_Silva   33 bra   C 10 66 75 60 45 25 500 500 500 500   2   42   0   0   0   0   0   0   0   0   0   0 100
Wanderson     31 bra  LR 10 34 74 72 55 25 500 500 500 547   3  162   0   0   0   0   2   1   0   0   0   0 100
Walace        30 bra   C 10 71 73 57 55 25 500 522 534 510   3   78   0   0   1   3   0   0   0   0   0   0 100
M_Henrique    28 bra   C 10 68 73 55 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
L_Sinisterra  26 col  LR 10 33 73 70 60 25 500 500 500 500   3  108   0   0   0   0   2   0   0   0   0   0 100
K_Arroyo      20 ecu  RL 10 34 72 66 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
B_Rodrigues   29 bra  LR 10 31 70 67 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Japa          22 bra  CR 10 52 69 61 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Kaique_Kenji  20 bra   L 10 35 68 64 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Marquinhos    22 bra  RL 10 62 69 63 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Rhikman     20 bra   C 10 60 64 47 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Kaio_Jorge    24 bra   C 10 25 62 83 55 25 500 500 500 506   3  162   0   0   0   0   3   0   0   0   0   0 100
Chico_daCosta 30 bra   C 10 24 49 72 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
N_Villarreal  20 col   C 10 27 55 70 45 25 500 500 508 506   3   75   0   0   0   1   1   0   0   0   0   0 100

